,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
44,Fully Paid,669372.0,Short Term,725.0,2158210.0,7,Home Mortgage,Debt Consolidation,34711.29,9.2,17.0,0,496052.0,638176.0,0,0
45,Fully Paid,130922.0,Short Term,747.0,2261304.0,2,Rent,Debt Consolidation,9761.25,16.1,6.0,0,110428.0,235488.0,0,0
46,Fully Paid,174548.0,Short Term,721.0,1620681.0,6,Rent,vacation,30522.74,15.0,7.0,0,40489.0,128832.0,0,0
47,Charged Off,290224.0,Long Term,644.0,837045.0,7,Home Mortgage,Debt Consolidation,8230.99,18.3,11.0,0,176624.0,370480.0,0,0
48,Fully Paid,718784.0,Long Term,672.0,1648915.0,10,Home Mortgage,Debt Consolidation,15664.74,12.0,10.0,0,252016.0,489610.0,0,0
49,Fully Paid,152548.0,Short Term,726.0,1172718.0,7,Home Mortgage,Debt Consolidation,19164.54,12.1,22.0,0,120916.0,946000.0,0,0
50,Fully Paid,602008.0,Long Term,741.0,2896721.0,2,Own Home,Debt Consolidation,48278.62,19.6,17.0,0,5246261.0,11887678.0,0,0
51,Fully Paid,171248.0,Short Term,747.0,3035725.0,10,Home Mortgage,Debt Consolidation,42500.15,31.5,11.0,0,25460.0,151140.0,0,0
52,Fully Paid,323466.0,Long Term,699.0,2048618.0,6,Home Mortgage,Debt Consolidation,27997.64,14.0,19.0,1,389994.0,743952.0,1,0
53,Charged Off,751520.0,Long Term,726.0,1172718.0,6,Home Mortgage,Debt Consolidation,27204.01,20.5,19.0,0,483968.0,594880.0,0,0
54,Fully Paid,289388.0,Short Term,726.0,1172718.0,7,Home Mortgage,Debt Consolidation,9758.4,16.0,12.0,0,439033.0,1735030.0,0,0
55,Fully Paid,144562.0,Short Term,751.0,1060922.0,9,Home Mortgage,Debt Consolidation,19750.88,21.8,7.0,0,314773.0,1035408.0,0,0
56,Fully Paid,211222.0,Short Term,694.0,947625.0,4,Rent,Debt Consolidation,8923.35,18.0,9.0,1,93081.0,397694.0,1,0
57,Fully Paid,162360.0,Short Term,720.0,486875.0,10,Rent,Debt Consolidation,8560.83,15.1,16.0,0,129504.0,434654.0,0,0
58,Fully Paid,311058.0,Long Term,675.0,1343167.0,10,Home Mortgage,Debt Consolidation,21378.8,31.4,11.0,0,247912.0,541596.0,0,0
59,Fully Paid,767536.0,Long Term,724.0,6628720.0,10,Home Mortgage,Debt Consolidation,53747.96,29.5,13.0,0,1426425.0,2510112.0,0,0
60,Charged Off,133034.0,Short Term,726.0,1172718.0,5,Own Home,Other,30520.46,13.8,23.0,0,113278.0,1561406.0,0,0
61,Fully Paid,389884.0,Short Term,657.0,4776125.0,1,Home Mortgage,Debt Consolidation,42985.22,21.5,14.0,1,237500.0,562386.0,1,0
62,Fully Paid,163966.0,Short Term,678.0,719910.0,9,Home Mortgage,Home Improvements,12778.26,6.4,9.0,1,66025.0,138248.0,0,1
63,Fully Paid,433312.0,Short Term,736.0,1010401.0,7,Home Mortgage,Debt Consolidation,22228.86,16.1,19.0,0,201780.0,613228.0,0,0
64,Fully Paid,89320.0,Short Term,748.0,1832075.0,0,Home Mortgage,Other,13312.92,19.0,6.0,0,127946.0,216260.0,0,0
65,Fully Paid,392282.0,Long Term,688.0,974662.0,8,Home Mortgage,Debt Consolidation,10396.42,12.0,11.0,0,35663.0,242946.0,0,0
66,Fully Paid,444620.0,Short Term,726.0,1172718.0,2,Home Mortgage,Home Improvements,15292.34,11.8,9.0,0,373350.0,522742.0,0,0
67,Fully Paid,262988.0,Short Term,743.0,1340279.0,10,Rent,Debt Consolidation,9348.38,28.2,9.0,0,499548.0,681296.0,0,0
68,Fully Paid,498586.0,Long Term,666.0,1351679.0,3,Rent,Other,32214.88,12.2,15.0,0,205637.0,433686.0,0,0
69,Fully Paid,378334.0,Short Term,714.0,2120514.0,2,Rent,Debt Consolidation,35695.3,17.0,12.0,0,75335.0,413402.0,0,0
70,Charged Off,194942.0,Short Term,742.0,1212238.0,1,Rent,Debt Consolidation,25254.99,27.4,13.0,1,176396.0,339834.0,1,0
71,Fully Paid,731566.0,Short Term,705.0,1377443.0,10,Home Mortgage,Debt Consolidation,13429.96,20.4,18.0,0,563008.0,1070432.0,0,0
72,Fully Paid,479358.0,Short Term,726.0,1172718.0,10,Rent,Debt Consolidation,22659.59,22.4,13.0,0,807462.0,1391302.0,0,0
73,Fully Paid,336908.0,Short Term,726.0,1172718.0,10,Rent,Debt Consolidation,6652.47,29.1,8.0,0,277419.0,1119250.0,0,0
74,Fully Paid,270116.0,Short Term,726.0,1172718.0,2,Home Mortgage,Debt Consolidation,15649.92,31.3,22.0,0,648850.0,3996322.0,0,0
75,Fully Paid,156772.0,Short Term,748.0,1411966.0,6,Home Mortgage,Home Improvements,22591.38,18.0,10.0,0,38456.0,251548.0,0,0
76,Fully Paid,306548.0,Short Term,726.0,1172718.0,6,Rent,Debt Consolidation,11157.37,17.5,10.0,0,200127.0,387508.0,0,0
77,Fully Paid,432080.0,Short Term,726.0,1172718.0,10,Rent,Debt Consolidation,35360.14,17.9,22.0,0,160550.0,685982.0,0,0
78,Fully Paid,158818.0,Short Term,731.0,315666.0,10,Own Home,Debt Consolidation,8522.83,31.3,13.0,1,260072.0,756646.0,0,1
79,Fully Paid,453464.0,Short Term,712.0,895147.0,3,Rent,Debt Consolidation,17007.85,14.2,12.0,1,137845.0,222926.0,1,0
80,Fully Paid,595672.0,Short Term,685.0,1305927.0,10,Rent,Debt Consolidation,13603.43,25.9,8.0,0,108148.0,129624.0,0,0
81,Fully Paid,166672.0,Short Term,705.0,1048667.0,10,Home Mortgage,Debt Consolidation,16166.91,16.0,10.0,0,167656.0,267014.0,0,0
82,Fully Paid,132792.0,Short Term,751.0,668990.0,4,Rent,Other,6132.25,14.7,5.0,0,61199.0,214742.0,0,0
83,Charged Off,119504.0,Short Term,745.0,938315.0,2,Home Mortgage,Buy House,11807.17,13.0,11.0,0,32300.0,104170.0,0,0
84,Fully Paid,33022.0,Short Term,723.0,1673007.0,7,Rent,Debt Consolidation,25234.47,23.3,13.0,0,125609.0,323928.0,0,0
85,Fully Paid,448976.0,Short Term,742.0,4071396.0,10,Home Mortgage,Debt Consolidation,10348.16,19.7,7.0,0,486001.0,1253340.0,0,0
86,Fully Paid,280588.0,Short Term,717.0,671080.0,3,Rent,Debt Consolidation,17447.89,10.0,10.0,1,168169.0,470360.0,1,0
87,Charged Off,556336.0,Long Term,714.0,1402960.0,10,Home Mortgage,Debt Consolidation,19524.4,19.5,5.0,0,317338.0,389246.0,0,0
88,Fully Paid,541310.0,Short Term,722.0,1682982.0,1,Home Mortgage,Debt Consolidation,52733.36,17.9,13.0,0,356288.0,619432.0,0,0
89,Fully Paid,311872.0,Long Term,680.0,1063810.0,6,Home Mortgage,Debt Consolidation,28191.06,12.2,10.0,0,391723.0,591338.0,0,0
90,Fully Paid,340604.0,Long Term,618.0,928701.0,10,Home Mortgage,Debt Consolidation,21205.52,14.4,5.0,0,291137.0,368808.0,0,0
91,Charged Off,765160.0,Long Term,719.0,2643242.0,7,Home Mortgage,Debt Consolidation,34582.47,20.5,19.0,0,249755.0,489302.0,0,0
92,Charged Off,109802.0,Short Term,745.0,474069.0,0,Rent,Debt Consolidation,1497.39,11.0,2.0,0,91048.0,186604.0,0,0
93,Charged Off,349756.0,Long Term,737.0,2491945.0,3,Rent,Debt Consolidation,23258.28,21.5,7.0,0,270332.0,660396.0,0,0
94,Fully Paid,545886.0,Short Term,718.0,1565182.0,7,Rent,Debt Consolidation,41477.0,15.0,16.0,0,80465.0,296714.0,0,0
95,Fully Paid,354046.0,Long Term,676.0,1815469.0,10,Home Mortgage,Home Improvements,5522.16,13.0,6.0,0,20976.0,70840.0,0,0
96,Fully Paid,472098.0,Long Term,692.0,2316575.0,10,Rent,Debt Consolidation,24517.22,28.2,9.0,0,454176.0,968506.0,0,0
97,Charged Off,509586.0,Long Term,678.0,1816001.0,2,Rent,Debt Consolidation,26180.67,13.9,32.0,1,115672.0,319638.0,1,0
98,Fully Paid,218988.0,Short Term,740.0,775409.0,4,Home Mortgage,Debt Consolidation,8141.88,14.9,5.0,0,100206.0,186230.0,0,0
99,Fully Paid,176462.0,Short Term,726.0,1172718.0,10,Home Mortgage,Home Improvements,14223.59,26.5,7.0,0,171703.0,1080552.0,0,0
100,Fully Paid,328262.0,Short Term,746.0,1133958.0,1,Rent,Debt Consolidation,20411.32,10.2,10.0,0,229463.0,472758.0,0,0
101,Charged Off,663168.0,Long Term,732.0,1527296.0,2,Home Mortgage,Debt Consolidation,22145.83,17.0,8.0,0,331075.0,543774.0,0,0
102,Fully Paid,338030.0,Short Term,726.0,1172718.0,8,Rent,Debt Consolidation,12144.04,16.9,9.0,0,321157.0,419232.0,0,0
103,Charged Off,446094.0,Short Term,726.0,1172718.0,3,Home Mortgage,Debt Consolidation,30975.51,7.0,9.0,0,76.0,85998.0,0,0
104,Fully Paid,133078.0,Short Term,709.0,804460.0,0,Rent,Debt Consolidation,9117.34,12.5,10.0,0,111568.0,243760.0,0,0
105,Fully Paid,278058.0,Short Term,726.0,1172718.0,7,Home Mortgage,Debt Consolidation,18706.64,15.9,10.0,0,207423.0,1171566.0,0,0
106,Fully Paid,752290.0,Long Term,649.0,2320375.0,3,Rent,Debt Consolidation,39252.86,13.4,13.0,0,431053.0,513502.0,0,0
107,Fully Paid,105556.0,Short Term,726.0,1172718.0,10,Home Mortgage,Debt Consolidation,18234.11,20.7,13.0,0,220894.0,846890.0,0,0
108,Fully Paid,262724.0,Long Term,695.0,1229072.0,4,Rent,Debt Consolidation,21508.76,21.8,5.0,0,337725.0,394218.0,0,0
109,Fully Paid,54076.0,Short Term,744.0,485697.0,1,Rent,Debt Consolidation,2655.06,9.0,6.0,0,19988.0,282260.0,0,0
110,Charged Off,552882.0,Long Term,686.0,1262151.0,10,Rent,Debt Consolidation,23770.71,23.4,13.0,0,299706.0,694056.0,0,0
111,Fully Paid,257400.0,Short Term,726.0,1172718.0,7,Home Mortgage,Debt Consolidation,13740.99,15.7,11.0,0,191159.0,274626.0,0,0
112,Fully Paid,462088.0,Short Term,726.0,1172718.0,7,Home Mortgage,Debt Consolidation,17759.3,14.8,13.0,0,627418.0,1603712.0,0,0
113,Fully Paid,460152.0,Short Term,726.0,1172718.0,10,Own Home,Debt Consolidation,21330.92,20.5,13.0,0,1220978.0,5396072.0,0,0
114,Charged Off,402534.0,Short Term,741.0,3090160.0,9,Rent,Debt Consolidation,23639.8,19.6,15.0,0,691467.0,1332188.0,0,0
115,Fully Paid,129844.0,Short Term,726.0,1172718.0,0,Rent,Debt Consolidation,16120.17,14.2,10.0,0,110618.0,212058.0,0,0
116,Charged Off,232716.0,Short Term,637.0,1049427.0,5,Rent,Home Improvements,12942.99,9.5,20.0,0,226442.0,389026.0,0,0
117,Fully Paid,286462.0,Long Term,719.0,1380426.0,10,Home Mortgage,Debt Consolidation,27378.62,15.7,10.0,0,177916.0,335522.0,0,0
118,Fully Paid,223256.0,Short Term,740.0,804916.0,7,Home Mortgage,Debt Consolidation,6774.64,34.4,13.0,0,308142.0,587818.0,0,0
119,Fully Paid,348832.0,Long Term,704.0,497306.0,0,Rent,Debt Consolidation,3257.36,13.0,4.0,0,90022.0,167860.0,0,0
120,Fully Paid,537878.0,Short Term,743.0,1296807.0,1,Home Mortgage,Debt Consolidation,24963.53,18.4,12.0,0,249223.0,515306.0,0,0
121,Fully Paid,196460.0,Short Term,746.0,942590.0,2,Home Mortgage,Debt Consolidation,15160.1,23.5,8.0,0,138700.0,410718.0,0,0
122,Fully Paid,214786.0,Short Term,723.0,883329.0,9,Home Mortgage,Debt Consolidation,11924.97,14.3,5.0,0,154755.0,193314.0,0,0
123,Fully Paid,109538.0,Short Term,697.0,567606.0,7,Home Mortgage,Debt Consolidation,5770.68,14.3,10.0,0,86716.0,151206.0,0,0
124,Fully Paid,259116.0,Short Term,726.0,1172718.0,6,Home Mortgage,Other,21678.81,31.4,9.0,0,254030.0,720918.0,0,0
125,Fully Paid,117986.0,Short Term,694.0,1886890.0,5,Rent,Debt Consolidation,3207.77,12.0,7.0,0,80408.0,351296.0,0,0
126,Fully Paid,133804.0,Short Term,725.0,1386734.0,4,Home Mortgage,Business Loan,16756.48,13.6,11.0,0,105450.0,260898.0,0,0
127,Fully Paid,87846.0,Short Term,736.0,625879.0,4,Own Home,Debt Consolidation,6988.96,50.1,16.0,0,96330.0,714978.0,0,0
128,Charged Off,332684.0,Long Term,722.0,881087.0,10,Home Mortgage,Debt Consolidation,12702.26,14.5,9.0,0,472226.0,640266.0,0,0
129,Fully Paid,190498.0,Short Term,706.0,892164.0,1,Rent,Debt Consolidation,8996.12,13.2,6.0,0,88160.0,117744.0,0,0
130,Fully Paid,448822.0,Short Term,741.0,1027444.0,1,Home Mortgage,Debt Consolidation,21576.4,33.1,8.0,0,669028.0,981838.0,0,0
131,Fully Paid,229086.0,Short Term,715.0,787626.0,8,Rent,Debt Consolidation,6543.79,23.9,7.0,1,71231.0,152460.0,1,0
132,Charged Off,393558.0,Long Term,678.0,2317392.0,2,Own Home,Debt Consolidation,22015.3,14.7,8.0,0,124184.0,145552.0,0,0
133,Fully Paid,151954.0,Short Term,707.0,562419.0,7,Rent,Debt Consolidation,14341.77,12.5,9.0,1,107692.0,219142.0,0,1
134,Fully Paid,254562.0,Short Term,738.0,669123.0,6,Rent,Debt Consolidation,13549.66,17.5,13.0,0,261383.0,743600.0,0,0
135,Charged Off,156178.0,Short Term,716.0,1124040.0,3,Rent,Other,8617.64,12.0,9.0,1,6194.0,108790.0,0,0
136,Fully Paid,645018.0,Long Term,737.0,2692471.0,10,Home Mortgage,Debt Consolidation,40386.97,24.0,21.0,0,640376.0,1468302.0,0,0
137,Fully Paid,605726.0,Short Term,748.0,3609145.0,10,Home Mortgage,Debt Consolidation,43610.7,23.0,10.0,0,378423.0,475772.0,0,0
138,Fully Paid,174460.0,Short Term,723.0,1318429.0,3,Own Home,Other,10547.47,15.0,14.0,0,55176.0,443586.0,0,0
139,Fully Paid,768394.0,Long Term,651.0,1651252.0,2,Home Mortgage,Debt Consolidation,19264.67,29.2,6.0,0,421420.0,559592.0,0,0
140,Fully Paid,314226.0,Long Term,723.0,2638454.0,1,Home Mortgage,Other,34959.43,18.2,10.0,0,662815.0,969034.0,0,0
141,Fully Paid,64966.0,Short Term,723.0,1224968.0,10,Home Mortgage,Other,23172.21,44.0,16.0,0,858154.0,1344574.0,0,0
142,Fully Paid,300366.0,Short Term,730.0,833188.0,10,Home Mortgage,Debt Consolidation,13400.32,17.9,7.0,0,179721.0,338932.0,0,0
143,Fully Paid,263648.0,Short Term,736.0,1138518.0,9,Rent,Debt Consolidation,12808.28,15.0,6.0,1,61788.0,202092.0,1,0
144,Fully Paid,716958.0,Short Term,718.0,1934960.0,9,Home Mortgage,Home Improvements,31765.72,10.0,9.0,0,168815.0,228624.0,0,0
145,Charged Off,459602.0,Long Term,712.0,982870.0,6,Home Mortgage,Debt Consolidation,12859.01,15.6,6.0,0,390621.0,468204.0,0,0
146,Fully Paid,405856.0,Long Term,708.0,1155751.0,10,Rent,Debt Consolidation,32264.85,22.7,13.0,0,338181.0,594198.0,0,0
147,Charged Off,547580.0,Short Term,710.0,1125978.0,0,Rent,Debt Consolidation,9758.4,13.8,6.0,0,435328.0,790064.0,0,0
148,Fully Paid,175428.0,Short Term,698.0,1136238.0,2,Rent,Buy a Car,2594.45,30.5,4.0,0,70832.0,96470.0,0,0
149,Fully Paid,216370.0,Short Term,726.0,1172718.0,2,Rent,Debt Consolidation,6446.89,8.2,10.0,0,239970.0,551320.0,0,0
150,Fully Paid,234806.0,Long Term,689.0,866799.0,9,Home Mortgage,Debt Consolidation,3676.69,14.1,4.0,1,86051.0,167750.0,1,0
151,Charged Off,25806.0,Short Term,685.0,742976.0,8,Rent,Other,6377.16,7.1,5.0,0,8189.0,47432.0,0,0
152,Fully Paid,332706.0,Short Term,735.0,957790.0,10,Home Mortgage,Debt Consolidation,10855.08,6.6,9.0,0,220571.0,498828.0,0,0
153,Fully Paid,333124.0,Short Term,703.0,1300246.0,10,Home Mortgage,Debt Consolidation,13110.76,14.6,10.0,0,173128.0,384032.0,0,0
154,Fully Paid,441276.0,Short Term,747.0,2305669.0,10,Home Mortgage,Debt Consolidation,24017.52,17.8,14.0,0,678851.0,2245848.0,0,0
155,Fully Paid,327756.0,Short Term,707.0,830319.0,5,Rent,Debt Consolidation,9271.81,15.8,6.0,0,245727.0,292732.0,0,0
156,Fully Paid,476586.0,Short Term,707.0,1403207.0,7,Rent,Debt Consolidation,18241.52,13.4,6.0,0,91580.0,214654.0,0,0
157,Fully Paid,263450.0,Short Term,726.0,1172718.0,10,Home Mortgage,Home Improvements,7319.18,16.9,17.0,1,169100.0,621610.0,1,0
158,Fully Paid,261800.0,Short Term,738.0,1488536.0,4,Rent,Debt Consolidation,21087.72,16.5,8.0,0,178220.0,274780.0,0,0
159,Charged Off,433136.0,Long Term,682.0,1178323.0,9,Home Mortgage,Debt Consolidation,17969.44,17.6,16.0,0,355471.0,426514.0,0,0
160,Charged Off,322124.0,Long Term,716.0,1020034.0,9,Home Mortgage,Debt Consolidation,16915.32,17.8,10.0,0,205865.0,341506.0,0,0
161,Charged Off,107536.0,Short Term,726.0,1172718.0,0,Rent,Debt Consolidation,22176.61,13.5,7.0,0,107483.0,197868.0,0,0
162,Fully Paid,355410.0,Short Term,726.0,1172718.0,10,Home Mortgage,Debt Consolidation,13237.11,13.7,6.0,1,297293.0,397518.0,1,0
163,Fully Paid,437668.0,Short Term,749.0,2683693.0,5,Home Mortgage,Debt Consolidation,5993.55,21.5,7.0,0,326496.0,562584.0,0,0
164,Fully Paid,377322.0,Short Term,740.0,1288162.0,0,Rent,Debt Consolidation,17068.08,36.3,8.0,0,358549.0,494824.0,0,0
165,Fully Paid,606122.0,Long Term,693.0,1395911.0,10,Home Mortgage,Debt Consolidation,24079.46,22.5,8.0,1,168378.0,332156.0,1,0
166,Fully Paid,520982.0,Long Term,724.0,1031111.0,10,Rent,Debt Consolidation,17013.17,15.0,12.0,0,267976.0,475178.0,0,0
167,Charged Off,304590.0,Short Term,746.0,1202510.0,1,Rent,Debt Consolidation,28960.18,19.7,9.0,0,314830.0,619982.0,0,0
168,Charged Off,472362.0,Short Term,732.0,1075058.0,5,Home Mortgage,Debt Consolidation,22218.03,16.1,13.0,0,392369.0,542146.0,0,0
169,Fully Paid,149402.0,Short Term,727.0,841491.0,1,Rent,Debt Consolidation,18723.17,8.6,14.0,0,163571.0,539572.0,0,0
170,Fully Paid,150458.0,Short Term,737.0,1330513.0,5,Home Mortgage,Debt Consolidation,4446.19,13.9,13.0,0,129827.0,316492.0,0,0
171,Fully Paid,268268.0,Short Term,726.0,1172718.0,5,Rent,Debt Consolidation,6896.62,16.0,10.0,0,207860.0,429044.0,0,0
172,Fully Paid,341352.0,Long Term,712.0,751108.0,0,Home Mortgage,Debt Consolidation,10327.83,13.3,11.0,0,81377.0,110858.0,0,0
173,Charged Off,432256.0,Short Term,737.0,2053216.0,10,Home Mortgage,Debt Consolidation,16305.8,17.4,11.0,0,316331.0,638088.0,0,0
174,Fully Paid,301114.0,Long Term,645.0,825246.0,0,Rent,Debt Consolidation,5948.71,9.0,10.0,1,59888.0,372746.0,1,0
175,Fully Paid,79398.0,Short Term,718.0,761824.0,2,Rent,Debt Consolidation,13459.03,15.5,13.0,0,159315.0,317526.0,0,0
176,Fully Paid,171842.0,Short Term,724.0,612199.0,2,Rent,Debt Consolidation,6734.17,11.8,12.0,0,330714.0,558228.0,0,0
177,Fully Paid,329120.0,Long Term,715.0,1515896.0,5,Home Mortgage,Debt Consolidation,21601.48,13.0,19.0,0,332576.0,683980.0,0,0
178,Fully Paid,486288.0,Long Term,707.0,1654577.0,3,Home Mortgage,Debt Consolidation,22612.47,14.9,18.0,0,407835.0,821282.0,0,0
179,Fully Paid,104368.0,Short Term,691.0,853974.0,1,Rent,Debt Consolidation,22559.08,20.0,10.0,1,116223.0,195580.0,1,0
180,Fully Paid,205854.0,Short Term,717.0,1898860.0,10,Home Mortgage,Debt Consolidation,31647.73,22.3,6.0,0,195738.0,251284.0,0,0
181,Charged Off,96690.0,Short Term,673.0,280136.0,10,Home Mortgage,Debt Consolidation,4598.76,17.8,4.0,0,179037.0,329582.0,0,0
182,Fully Paid,111408.0,Short Term,733.0,1154592.0,10,Rent,Debt Consolidation,18762.12,20.4,9.0,0,283936.0,465674.0,0,0
183,Fully Paid,284152.0,Short Term,700.0,1054519.0,10,Home Mortgage,Debt Consolidation,15202.66,14.0,12.0,0,182780.0,366146.0,0,0
184,Fully Paid,149116.0,Short Term,700.0,1380160.0,7,Home Mortgage,Home Improvements,18171.98,10.8,5.0,0,95171.0,112574.0,0,0
